anzsic06,Area,year,geo_count,ec_count
A011,A337600,2000,6,3
A011,A337700,2000,3,45
A011,A338000,2000,3,0
A011,A338200,2000,0,21
A011,A338400,2000,3,0
A011,A338700,2000,9,3
A011,A338900,2000,0,0
A011,A339000,2000,3,0
A011,A339100,2000,0,0
A011,A339200,2000,6,0
A011,A339300,2000,3,0
A011,A339500,2000,6,9
A011,A339700,2000,0,0
A011,A339800,2000,3,15
A011,A339900,2000,3,0
A011,A340000,2000,0,0
A011,A340600,2000,0,0
A011,A340800,2000,3,6
A011,A341400,2000,0,0
A011,A341800,2000,0,0
A011,A341900,2000,3,0
A011,A342000,2000,0,0
A011,A342200,2000,3,6
A011,A342300,2000,3,0
A011,A342400,2000,3,3
A011,A342600,2000,3,3
A011,A343100,2000,0,6
A011,A343300,2000,0,0
A011,A343400,2000,0,0
A011,A343500,2000,3,9
A011,A343600,2000,3,0
A011,A343700,2000,3,9
A011,A343800,2000,0,0
A011,A343900,2000,0,9
A011,A344800,2000,0,0
A011,A344900,2000,0,0
A011,A345100,2000,0,0
A011,A345200,2000,3,0
A011,A345300,2000,3,3
A011,A345400,2000,0,0
A011,A345500,2000,0,0
A011,A345600,2000,3,0
A011,A345700,2000,3,0
A011,A345800,2000,0,0
A011,A345900,2000,0,0
A011,A346200,2000,6,6
A011,A346800,2000,0,0
A011,A347000,2000,3,0
A011,A347500,2000,6,3
A011,A348500,2000,0,0
A011,A349000,2000,0,0
A011,A349200,2000,3,0
A011,A349300,2000,0,0
A011,A349400,2000,6,25
A011,A349600,2000,6,12
A011,A349800,2000,3,9
A011,A350000,2000,3,0
A011,A350100,2000,3,6
A011,A350200,2000,3,0
A011,A350300,2000,0,0
A011,A350400,2000,3,0
A011,A351000,2000,0,0
A011,A351400,2000,0,3
A011,A351800,2000,3,6
A011,A352600,2000,0,6
A011,A353000,2000,3,0
A011,A353800,2000,0,0
A011,A354300,2000,0,9
A011,A354900,2000,3,0
A011,A355100,2000,3,0
A011,A355400,2000,0,0
A011,A355800,2000,6,110
A011,A355900,2000,3,0
A011,A356000,2000,3,3
A011,A356100,2000,6,30
A011,A356300,2000,0,0
A011,A356400,2000,0,0
A011,A356700,2000,0,0
A011,A357300,2000,0,9
A011,A357600,2000,3,6
A011,A357700,2000,0,0
A011,A357900,2000,6,12
A011,A358000,2000,0,0
A011,A358200,2000,3,9
A011,A358300,2000,3,6
A011,A358400,2000,0,0
A011,A358800,2000,3,0
A011,A359100,2000,0,12
A011,A359400,2000,0,0
A011,A359500,2000,0,0
A011,A359600,2000,0,3
A011,A359700,2000,3,0
A011,A360100,2000,3,30
A011,A360400,2000,3,0
A011,A360500,2000,6,30
A011,A360700,2000,3,3
A011,A360800,2000,3,3
A011,A360900,2000,0,0
A011,A361000,2000,3,6
A011,A361200,2000,3,0
A011,A362300,2000,6,50
A011,A363100,2000,3,12
A011,C07601,2000,156,180
A011,C07602,2000,12,18
A011,C07603,2000,48,270
A011,C07604,2000,3,30
A011,C07605,2000,0,0
A011,C07606,2000,18,55
A011,C07607,2000,36,70
A011,C07608,2000,3,3
A011,C07609,2000,6,0
A011,C07610,2000,3,50
A011,C07611,2000,6,25
A011,C07612,2000,6,9
A011,C07613,2000,0,0
A011,C07614,2000,6,0
A011,C07615,2000,6,50
A011,C07616,2000,6,0
A011,C07617,2000,9,120
A011,C07618,2000,3,15
A011,C07619,2000,3,40
A011,C07620,2000,18,30
A011,C07621,2000,180,520
A011,CTotal,2000,525,1500
A011,R01,2000,303,290
A011,R02,2000,525,1500
A011,R03,2000,231,500
A011,R04,2000,363,380
A011,R05,2000,24,55
A011,R06,2000,90,320
A011,R07,2000,108,180
A011,R08,2000,177,430
A011,R09,2000,84,180
A011,R12,2000,12,12
A011,R13,2000,453,710
A011,R14,2000,96,260
A011,R15,2000,45,190
A011,R16,2000,78,170
A011,R17,2000,18,15
A011,R18,2000,54,80
A011,RTotal,2000,2670,5200
A011,T001,2000,99,120
A011,T002,2000,150,110
A011,T003,2000,57,55
A011,T011,2000,21,25
A011,T012,2000,15,9
A011,T013,2000,93,180
A011,T015,2000,15,9
A011,T016,2000,15,50
A011,T017,2000,51,200
A011,T018,2000,3,3
A011,T019,2000,6,15
A011,T021,2000,12,9
A011,T022,2000,255,270
A011,T023,2000,66,65
A011,T024,2000,21,30
A011,T025,2000,12,9
A011,T027,2000,9,3
A011,T028,2000,24,55
A011,T029,2000,3,3
A011,T030,2000,60,190
A011,T031,2000,18,110
A011,T032,2000,12,21
A011,T033,2000,84,170
A011,T034,2000,6,3
A011,T035,2000,21,15
A011,T036,2000,3,9
A011,T037,2000,24,40
A011,T038,2000,9,3
A011,T039,2000,30,100
A011,T040,2000,48,150
A011,T041,2000,9,30
A011,T042,2000,51,110
A011,T043,2000,39,120
A011,T044,2000,9,12
A011,T045,2000,6,3
A011,T046,2000,6,15
A011,T047,2000,6,6
A011,T048,2000,9,9
A011,T049,2000,6,15
A011,T050,2000,6,0
A011,T051,2000,78,170
A011,T052,2000,18,15
A011,T053,2000,54,80
A011,T054,2000,0,0
A011,T055,2000,6,9
A011,T056,2000,3,0
A011,T057,2000,0,3
A011,T058,2000,15,3
A011,T059,2000,117,80
A011,T060,2000,147,310
A011,T062,2000,96,160
A011,T063,2000,30,110
A011,T064,2000,36,30
A011,T065,2000,6,0
A011,T066,2000,6,12
A011,T068,2000,12,35
A011,T069,2000,18,6
A011,T070,2000,12,9
A011,T071,2000,39,75
A011,T072,2000,18,140
A011,T073,2000,18,55
A011,T074,2000,6,35
A011,T075,2000,21,100
A011,T076,2000,525,1500
A011,TTotal,2000,2670,5200
A012,A100100,2000,3,0
A012,A100200,2000,6,0
A012,A100300,2000,3,0
A012,A100400,2000,0,0
A012,A100500,2000,3,6
A012,A100600,2000,0,0
A012,A100700,2000,0,15
A012,A100800,2000,0,0
A012,A101000,2000,3,0
A012,A101100,2000,3,6
A012,A101200,2000,0,0
A012,A101300,2000,3,0
A012,A101400,2000,3,0
A012,A101500,2000,3,0
A012,A101700,2000,0,0
A012,A101900,2000,6,12
A012,A102000,2000,3,0
A012,A102100,2000,0,0
A012,A102200,2000,6,35
A012,A102300,2000,6,0
A012,A102500,2000,3,0
A012,A102600,2000,6,3
A012,A102700,2000,0,0
A012,A102800,2000,3,0
A012,A103000,2000,3,0
A012,A103100,2000,6,30
A012,A103300,2000,3,0
A012,A103400,2000,0,3
A012,A103500,2000,3,0
A012,A103700,2000,0,0
A012,A103900,2000,3,0
A012,A104800,2000,3,0
A012,A104900,2000,6,6
A012,A105100,2000,6,12
A012,A105300,2000,6,0
